CON_SHORT,CON_JA,CON_LAT,CON_LAT_GEN,MONTH
And,アンドロメダ,Andromeda,Andromedae,11月下旬
Ant,ポンプ,Antlia,Antliae,4月中旬
Aps,ふうちょう,Apus,Apodis,7月中旬
Aql,わし,Aquila,Aquilae,9月上旬
Aqr,みずがめ,Aquarius,Aquarii,10月下旬
Ara,さいだん,Ara,Arae,8月上旬
Ari,おひつじ,Aries,Arietis,12月下旬
Aur,ぎょしゃ,Auriga,Aurigae,2月中旬
Boo,うしかい,Bootes,Bootis,6月下旬
Cae,ちょうこくぐ,Caelum,Caeli,1月下旬
Cam,きりん,Camelopardalis,Camelopardalis,2月中旬
Cap,やぎ,Capricornus,Capricorni,9月下旬
Car,りゅうこつ,Carina,Carinae,3月下旬
Cas,カシオペヤ,Cassiopeia,Cassiopeiae,12月上旬
Cen,ケンタウルス,Centaurus,Centauri,6月上旬
Cep,ケフェウス,Cepheus,Cephei,10月中旬
Cet,くじら,Cetus,Ceti,12月中旬
Cha,カメレオン,Chamaeleon,Chamaeleontis,4月下旬
Cir,コンパス,Circinus,Circini,6月下旬
CMa,おおいぬ,Canis Major,Canis Majoris,2月下旬
CMi,こいぬ,Canis Minor,Canis Minoris,3月中旬
Cnc,かに,Cancer,Cancri,3月下旬
Col,はと,Columba,Columbae,2月上旬
Com,かみのけ,Coma Berenices,Comae Berenices,5月下旬
CrA,みなみのかんむり,Corona Australis,Coronae Australis,8月下旬
CrB,かんむり,Corona Borealis,Coronae Borealis,7月中旬
Crt,コップ,Crater,Crateris,5月上旬
Cru,みなみじゅうじ,Crux,Crucis,5月下旬
Crv,からす,Corvus,Corvi,5月下旬
CVn,りょうけん,Canes Venatici,Canum Venaticorum,6月上旬
Cyg,はくちょう,Cygnus,Cygni,9月下旬
Del,いるか,Delphinus,Delphini,9月下旬
Dor,かじき,Dorado,Doradus,1月下旬
Dra,りゅう,Draco,Draconis,8月上旬
Equ,こうま,Equuleus,Equulei,10月上旬
Eri,エリダヌス,Eridanus,Eridani,1月中旬
For,ろ,Fornax,Fornacis,12月下旬
Gem,ふたご,Gemini,Geminorum,3月上旬
Gru,つる,Grus,Gruis,10月下旬
Her,ヘルクレス,Hercules,Herculis,8月上旬
Hor,とけい,Horologium,Horologii,1月上旬
Hya,うみへび,Hydra,Hydrae,4月下旬
Hyi,みずへび,Hydrus,Hydri,12月下旬
Ind,インディアン,Indus,Indi,10月上旬
Lac,とかげ,Lacerta,Lacertae,10月下旬
Leo,しし,Leo,Leonis,4月下旬
Lep,うさぎ,Lepus,Leporis,2月上旬
Lib,てんびん,Libra,Librae,7月上旬
LMi,こじし,Leo Minor,Leonis Minoris,4月下旬
Lup,おおかみ,Lupus,Lupi,7月上旬
Lyn,やまねこ,Lynx,Lyncis,3月中旬
Lyr,こと,Lyra,Lyrae,8月下旬
Men,テーブルさん,Mensa,Mensae,2月上旬
Mic,けんびきょう,Microscopium,Microscopii,9月下旬
Mon,いっかくじゅう,Monoceros,Monocerotis,3月上旬
Mus,はえ,Musca,Muscae,5月下旬
Nor,じょうぎ,Norma,Normae,7月中旬
Oct,はちぶんぎ,Octans,Octantis,10月上旬
Oph,へびつかい,Ophiuchus,Ophiuchi,8月上旬
Ori,オリオン,Orion,Orionis,2月上旬
Pav,くじゃく,Pavo,Pavonis,9月上旬
Peg,ペガスス,Pegasus,Pegasi,10月下旬
Per,ペルセウス,Perseus,Persei,1月上旬
Phe,ほうおう,Phoenix,Phoenicis,12月上旬
Pic,がか,Pictor,Pictoris,2月上旬
PsA,みなみのうお,Piscis Austrinus,Piscis Austrini,10月中旬
Psc,うお,Pisces,Piscium,11月下旬
Pup,とも,Puppis,Puppis,3月中旬
Pyx,らしんばん,Pyxis,Pyxidis,3月下旬
Ret,レチクル,Reticulum,Reticuli,1月中旬
Scl,ちょうこくしつ,Sculptor,Sculptoris,11月下旬
Sco,さそり,Scorpius,Scorpii,7月下旬
Sct,たて,Scutum,Scuti,8月下旬
Ser,へび,Serpens,Serpentis,7月中旬
Sex,ろくぶんぎ,Sextans,Sextantis,4月中旬
Sge,や,Sagitta,Sagittae,9月中旬
Sgr,いて,Sagittarius,Sagittarii,9月上旬
Tau,おうし,Taurus,Tauri,1月下旬
Tel,ぼうえんきょう,Telescopium,Telescopii,9月上旬
TrA,みなみのさんかく,Triangulum Australe,Trianguli Australis,7月中旬
Tri,さんかく,Triangulum,Trianguli,12月中旬
Tuc,きょしちょう,Tucana,Tucanae,11月中旬
UMa,おおぐま,Ursa Major,Ursae Majoris,5月上旬
UMi,こぐま,Ursa Minor,Ursae Minoris,7月中旬
Vel,ほ,Vela,Velorum,4月上旬
Vir,おとめ,Virgo,Virginis,6月上旬
Vol,とびうお,Volans,Volantis,3月中旬
Vul,こぎつね,Vulpecula,Vulpeculae,9月中旬
