HIP,VMAG,RA_DEG,DEC_DEG
104382, 5.45,317.19172547,-88.9565112
 75736, 6.49,232.08618345,-88.13281448
 92824, 5.29,283.69853501,-87.60551487
115836, 5.50,352.01486122,-87.48224182
 32500, 6.46,101.74383218,-87.02497454
 83255, 6.05,255.24350817,-86.36429709
 60638, 6.32,186.40949088,-86.15059684
111196, 5.76,337.90761619,-85.96740206
 66753, 5.56,205.23406365,-85.78599228
 43908, 5.43,134.1745136,-85.66323432
 58697, 6.05,180.58615049,-85.63176087
 17328, 6.40,55.63620779,-85.26202284
 88274, 6.45,270.39253838,-85.21447624
 63031, 5.45,193.7431157,-85.12342237
  1074, 5.78,3.3314522,-84.99402068
106320, 6.42,323.01192811,-84.80999675
 74296, 5.88,227.78664063,-84.78782184
 25776, 6.18,82.55804936,-84.78521152
  7568, 5.66,24.3657494,-84.76965017
 53702, 6.19,164.80901947,-84.59387348
 76996, 5.57,235.81708657,-84.46550807
 90509, 6.49,277.02644303,-84.38723353
 70638, 4.31,216.73225313,-83.66785308
 93117, 6.35,284.54178857,-83.42216671
100697, 6.15,306.22834017,-83.31063455
 73540, 5.65,225.46126796,-83.22777573
 56996, 6.32,175.2566544,-83.09996178
 73771, 5.65,226.19567959,-83.03826851
  7601, 5.88,24.47908355,-82.97528876
 70418, 6.42,216.0924058,-82.84822332
107843, 5.27,327.72603561,-82.71882392
106474, 6.35,323.47696549,-82.68307834
 68009, 5.95,208.91245413,-82.66613365
 23148, 5.84,74.71244667,-82.47052255
   814, 5.29,2.50945435,-82.22399743
 49065, 5.53,150.18293561,-82.21474569
118114, 5.72,359.38745413,-82.16974335
117689, 5.10,358.02789102,-82.01876765
 91723, 6.27,280.55983879,-81.80807287
 20297, 5.78,65.24179812,-81.58022679
 88599, 6.37,271.36143072,-81.48644851
112405, 4.13,341.51551393,-81.38161731
 98086, 6.39,299.00675249,-81.34983861
101843, 5.89,309.5775207,-81.28897011
 69896, 4.89,214.55821047,-81.00760147
101427, 5.76,308.3233866,-80.96482633
 46928, 5.07,143.47293825,-80.94129374
 41191, 5.67,126.08492509,-80.91471955
114550, 6.43,348.05179488,-80.91267194
 85760, 5.83,262.8644714,-80.85902834
 31897, 5.61,100.01211946,-80.81372235
 46107, 5.34,141.04053926,-80.78720514
 52633, 4.45,161.44639899,-80.54020283
 26394, 5.65,84.28663598,-80.4716745
 52595, 5.46,161.3182296,-80.4695233
110256, 5.09,335.00616756,-80.43964301
 90606, 5.95,277.33342045,-80.23255408
 20049, 5.67,64.49656949,-80.21418106
  8366, 6.05,26.94453905,-80.17616913
112781, 5.32,342.59477516,-80.12381446
 70248, 5.06,215.5966542,-80.108911
 48320, 6.47,147.75333462,-80.06109591
106424, 6.47,323.33778586,-80.03930788
 64951, 6.34,199.70140385,-79.97596131
 52340, 5.97,160.46490038,-79.78330226
 55225, 6.35,169.64252563,-79.66860236
 53151, 6.36,163.1194501,-79.55944198
 43012, 5.79,131.48014451,-79.50457035
114258, 6.11,347.09809853,-79.4805999
115129, 6.34,349.785614,-79.47243616
106881, 6.17,324.73396995,-79.44251799
 33384, 5.45,104.14366809,-79.42018913
 27566, 5.46,87.56999717,-79.36152292
 60000, 4.24,184.58726633,-79.31226899
 57137, 6.38,175.72721843,-79.30636263
  7879, 6.33,25.33868782,-79.14825374
 11757, 5.27,37.91716991,-79.10924959
 36039, 5.54,111.40911866,-79.09420265
 42794, 6.05,130.80128686,-79.0701501
 72370, 3.83,221.96552567,-79.04471242
 14521, 5.67,46.88292015,-78.98942329
 42637, 5.46,130.33167303,-78.96342637
 81065, 3.86,248.36443409,-78.89695917
 26264, 6.04,83.90054432,-78.82088325
117125, 5.74,356.16950877,-78.79144467
111504, 6.15,338.85984361,-78.77156677
 80047, 4.68,245.08681283,-78.69565609
 80057, 5.27,245.11193231,-78.66742066
 51839, 4.11,158.86757668,-78.60781379
 68431, 6.09,210.13689131,-78.58995932
 59647, 6.34,183.48531404,-78.57388687
  7271, 6.11,23.41359158,-78.5044859
 64587, 5.84,198.57231883,-78.44744492
 64108, 6.43,197.08550598,-78.44596983
 16290, 5.68,52.49552432,-78.35178497
  8991, 6.15,28.9593779,-78.34867741
 16827, 6.29,54.12576577,-78.32308914
 23251, 6.29,75.05536691,-78.30001167
 58484, 4.88,179.90704708,-78.22181833
 78360, 6.40,239.97974391,-78.02709871
 76664, 6.19,234.82757495,-77.91768742
 92233, 6.39,281.95501862,-77.86861256
 69778, 6.48,214.22985498,-77.6642146
108759, 6.39,330.46936672,-77.66252854
 21611, 6.05,69.59060165,-77.65597754
 55497, 6.43,170.48794976,-77.60834843
 81852, 4.23,250.7725818,-77.51657182
110078, 5.49,334.46123241,-77.51158803
 40888, 4.34,125.16203304,-77.4845764
  1706, 5.96,5.3697616,-77.42685699
